model_name_or_path mistralai/Mistral-7B-v0.1
wandb_project nlp804-UWFE-mistral
wandb_run_name explicit-errors
use_flash_attention_2 True
checkpoint_path None
save_file None
dataset boda/kaneko_data
prompt_key prompt
num_shots 0
explicit_errors True
output_dir /l/users/abdelrahman.sadallah/UWFE-mistral-explicit-errors
overwrite_output_dir False
do_train False
do_eval True
do_predict False
evaluation_strategy IntervalStrategy.STEPS
prediction_loss_only False
per_device_train_batch_size 4
per_device_eval_batch_size 4
per_gpu_train_batch_size None
per_gpu_eval_batch_size None
gradient_accumulation_steps 1
eval_accumulation_steps None
eval_delay 0
learning_rate 1e-06
weight_decay 0.01
adam_beta1 0.9
adam_beta2 0.999
adam_epsilon 1e-08
max_grad_norm 1.0
num_train_epochs 3.0
max_steps 10000
lr_scheduler_type SchedulerType.LINEAR
lr_scheduler_kwargs {}
warmup_ratio 0.07
warmup_steps 0
log_level passive
log_level_replica warning
log_on_each_node True
logging_dir /l/users/abdelrahman.sadallah/UWFE-mistral-explicit-errors/runs/Apr11_21-20-49_gpu-14
logging_strategy IntervalStrategy.STEPS
logging_first_step False
logging_steps 100
logging_nan_inf_filter True
save_strategy IntervalStrategy.STEPS
save_steps 500
save_total_limit 3
save_safetensors True
save_on_each_node False
save_only_model False
no_cuda False
use_cpu False
use_mps_device False
seed 42
data_seed None
jit_mode_eval False
use_ipex False
bf16 False
fp16 False
fp16_opt_level O1
half_precision_backend auto
bf16_full_eval False
fp16_full_eval False
tf32 None
local_rank 0
ddp_backend None
tpu_num_cores None
tpu_metrics_debug False
debug []
dataloader_drop_last False
eval_steps 500
dataloader_num_workers 0
dataloader_prefetch_factor None
past_index -1
run_name /l/users/abdelrahman.sadallah/UWFE-mistral-explicit-errors
disable_tqdm False
remove_unused_columns True
label_names None
load_best_model_at_end True
metric_for_best_model loss
greater_is_better False
ignore_data_skip False
fsdp []
fsdp_min_num_params 0
fsdp_config {'min_num_params': 0, 'xla': False, 'xla_fsdp_v2': False, 'xla_fsdp_grad_ckpt': False}
fsdp_transformer_layer_cls_to_wrap None
accelerator_config AcceleratorConfig(split_batches=False, dispatch_batches=None, even_batches=True, use_seedable_sampler=True)
deepspeed None
label_smoothing_factor 0.0
optim OptimizerNames.ADAMW_TORCH
optim_args None
adafactor False
group_by_length False
length_column_name length
report_to ['tensorboard', 'wandb']
ddp_find_unused_parameters None
ddp_bucket_cap_mb None
ddp_broadcast_buffers None
dataloader_pin_memory True
dataloader_persistent_workers False
skip_memory_metrics True
use_legacy_prediction_loop False
push_to_hub False
resume_from_checkpoint None
hub_model_id None
hub_strategy HubStrategy.EVERY_SAVE
hub_token None
hub_private_repo False
hub_always_push False
gradient_checkpointing False
gradient_checkpointing_kwargs None
include_inputs_for_metrics False
fp16_backend auto
push_to_hub_model_id None
push_to_hub_organization None
push_to_hub_token None
mp_parameters 
auto_find_batch_size False
full_determinism False
torchdynamo None
ray_scope last
ddp_timeout 1800
torch_compile False
torch_compile_backend None
torch_compile_mode None
dispatch_batches None
split_batches None
include_tokens_per_second False
include_num_input_tokens_seen False
neftune_noise_alpha None
sortish_sampler False
predict_with_generate False
generation_max_length None
generation_num_beams None
generation_config None
distributed_state Distributed environment: NO
Num processes: 1
Process index: 0
Local process index: 0
Device: cuda

_n_gpu 1
__cached__setup_devices cuda:0
deepspeed_plugin None
Loading the datasets
{'loss': 2.0709, 'grad_norm': 0.8379674553871155, 'learning_rate': 1.426533523537803e-07, 'epoch': 0.31}
{'loss': 2.0606, 'grad_norm': 0.852680504322052, 'learning_rate': 2.853067047075606e-07, 'epoch': 0.62}
{'loss': 1.9614, 'grad_norm': 0.8992690443992615, 'learning_rate': 4.2796005706134093e-07, 'epoch': 0.93}
{'loss': 1.8054, 'grad_norm': 0.9322229027748108, 'learning_rate': 5.706134094151212e-07, 'epoch': 1.23}
{'loss': 1.482, 'grad_norm': 0.7255824208259583, 'learning_rate': 7.132667617689015e-07, 'epoch': 1.54}
{'eval_loss': 1.1733225584030151, 'eval_runtime': 23.9515, 'eval_samples_per_second': 6.012, 'eval_steps_per_second': 1.503, 'epoch': 1.54}
{'loss': 1.1803, 'grad_norm': 0.8425836563110352, 'learning_rate': 8.559201141226819e-07, 'epoch': 1.85}
{'loss': 1.0708, 'grad_norm': 0.6888173818588257, 'learning_rate': 9.985734664764621e-07, 'epoch': 2.16}
{'loss': 1.0463, 'grad_norm': 0.7840731143951416, 'learning_rate': 9.893536939455855e-07, 'epoch': 2.47}
{'loss': 1.0101, 'grad_norm': 0.7855027318000793, 'learning_rate': 9.78599849446177e-07, 'epoch': 2.78}
{'loss': 1.0222, 'grad_norm': 0.7787587642669678, 'learning_rate': 9.678460049467684e-07, 'epoch': 3.09}
{'eval_loss': 0.8085249066352844, 'eval_runtime': 23.8706, 'eval_samples_per_second': 6.033, 'eval_steps_per_second': 1.508, 'epoch': 3.09}
{'loss': 0.9904, 'grad_norm': 0.8905630707740784, 'learning_rate': 9.570921604473599e-07, 'epoch': 3.4}
{'loss': 0.9653, 'grad_norm': 1.0409801006317139, 'learning_rate': 9.463383159479513e-07, 'epoch': 3.7}
{'loss': 0.9856, 'grad_norm': 0.9015148282051086, 'learning_rate': 9.355844714485428e-07, 'epoch': 4.01}
{'loss': 0.9463, 'grad_norm': 0.8959704637527466, 'learning_rate': 9.248306269491342e-07, 'epoch': 4.32}
{'loss': 0.9628, 'grad_norm': 1.0819052457809448, 'learning_rate': 9.140767824497257e-07, 'epoch': 4.63}
{'eval_loss': 0.7676267623901367, 'eval_runtime': 23.8879, 'eval_samples_per_second': 6.028, 'eval_steps_per_second': 1.507, 'epoch': 4.63}
{'loss': 0.9468, 'grad_norm': 0.852625846862793, 'learning_rate': 9.033229379503173e-07, 'epoch': 4.94}
{'loss': 0.9335, 'grad_norm': 0.9809706211090088, 'learning_rate': 8.925690934509087e-07, 'epoch': 5.25}
{'loss': 0.9396, 'grad_norm': 1.368775725364685, 'learning_rate': 8.818152489515002e-07, 'epoch': 5.56}
{'loss': 0.9127, 'grad_norm': 1.3041601181030273, 'learning_rate': 8.710614044520915e-07, 'epoch': 5.86}
{'loss': 0.9114, 'grad_norm': 1.321104884147644, 'learning_rate': 8.60307559952683e-07, 'epoch': 6.17}
{'eval_loss': 0.7469676733016968, 'eval_runtime': 23.8843, 'eval_samples_per_second': 6.029, 'eval_steps_per_second': 1.507, 'epoch': 6.17}
{'loss': 0.9236, 'grad_norm': 1.025774359703064, 'learning_rate': 8.495537154532744e-07, 'epoch': 6.48}
{'loss': 0.902, 'grad_norm': 1.2849286794662476, 'learning_rate': 8.387998709538659e-07, 'epoch': 6.79}
